Number of Records,question_topic
2806,acacia
8395,african-nightshade
2373,amaranth
266384,animal
14739,apple
123,apricot
169,asparagus
32429,aubergine
46216,avocado
2646,bamboo
330052,banana
1503,barley
732107,bean
96346,bee
6274,beetroot
73687,bird
833,black-nightshade
47,blackberry
3495,boma-rhodes
1448,brachiaria-grass
570,broccoli
9685,butternut-squash
225372,cabbage
203,caliandra
10971,camel
43716,capsicum
62893,carrot
14595,cashew-nut
101297,cassava
135,castor-bean
25596,cat
1675466,cattle
415,cauliflower
158,celery
71016,cereal
377,chard
2431,chia
1667234,chicken
424,chickpea
27485,chilli
5193,clover
8672,cocoa
6032,coconut
286399,coffee
2967,collard-greens
896,corriander
180314,cotton
825,courgette
24642,cowpea
6,cranberry
602913,crop
2928,cucumber
1570,cyprus
2926,desmodium
54061,dog
93717,duck
11154,eucalyptus
3847,finger-millet
73386,fish
1414,flax
11859,french-bean
12963,garlic
17712,ginger
434283,goat
432,gooseberry
1433,grape
101536,grass
7043,greens
5285,guava
25377,guinea-fowl
838,guinea-pig
2929,jackfruit
118875,kale
266,leek
4730,lemon
470,lettuce
123,leucaena
210497,livestock
1151,locust
1857,lucern
179,lupin
4204,macademia
2201738,maize
40279,mango
47282,melon
95517,millet
6157,miraa
55,mulberry
9004,mung-bean
18757,mushroom
49977,napier-grass
1666,nightshade
1369,oat
2553,okra
27239,olive
245854,onion
34538,orange
1767,ostrich
3224,parsley
104496,passion-fruit
19931,paw-paw
31696,pea
3513,peach
127392,peanut
7614,pear
405320,pig
28695,pigeon
6988,pigeon-pea
20939,pineapple
1024467,plant
111130,plantain
387824,potato
1051797,poultry
20845,pumpkin
34,purple-vetch
3546,pyrethrum
252086,rabbit
1799,radish
2160,rapeseed
229105,rice
153,rye
3436,safflower
1267,sesame
94,setaria
161151,sheep
6513,sisal
176,snap-pea
3463,snow-pea
34514,soya
31620,spinach
3648,squash
2796,strawberry
485,sudan-grass
89511,sugar-cane
47617,sunflower
76966,sweet-potato
10034,taro
90534,tea
6932,tilapia
17957,tobacco
1096355,tomato
140277,tree
22095,turkey
120154,vegetable
126,vetch
131707,watermelon
135192,wheat
13802,yam
