date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,RH2M,WS2M,latitude,longitude
2015-01-01,22.07,28.03,15.84,2.01,65.91,1.79,0.3476,32.5825
2015-01-02,21.58,28.07,15.38,0.0,63.22,1.43,0.3476,32.5825
2015-01-03,21.26,28.6,14.83,0.0,54.31,1.52,0.3476,32.5825
2015-01-04,20.06,28.0,12.53,0.02,66.08,2.14,0.3476,32.5825
2015-01-05,20.69,27.97,14.24,1.15,72.31,2.31,0.3476,32.5825
2015-01-06,20.64,27.34,15.45,0.15,69.92,2.34,0.3476,32.5825
2015-01-07,20.08,27.27,13.71,0.0,67.32,2.26,0.3476,32.5825
2015-01-08,20.57,27.67,13.55,0.01,64.77,2.13,0.3476,32.5825
2015-01-09,20.59,28.06,13.59,0.01,64.33,2.28,0.3476,32.5825
2015-01-10,20.49,27.41,15.11,0.06,64.34,3.09,0.3476,32.5825
2015-01-11,20.02,26.27,14.08,0.0,65.07,2.81,0.3476,32.5825
2015-01-12,21.03,27.42,15.43,0.0,63.36,2.13,0.3476,32.5825
2015-01-13,22.51,29.16,15.82,0.04,64.52,1.91,0.3476,32.5825
2015-01-14,23.45,30.36,16.81,0.0,60.78,1.96,0.3476,32.5825
2015-01-15,21.98,29.79,14.39,0.0,57.9,1.71,0.3476,32.5825
2015-01-16,21.51,29.63,14.46,0.0,61.99,2.02,0.3476,32.5825
2015-01-17,21.01,29.52,13.52,0.0,60.12,2.26,0.3476,32.5825
2015-01-18,20.92,29.63,13.25,0.0,60.05,2.29,0.3476,32.5825
2015-01-19,21.54,29.54,13.45,0.0,62.35,2.11,0.3476,32.5825
2015-01-20,22.4,29.59,15.13,0.0,58.52,1.71,0.3476,32.5825
2015-01-21,23.58,28.31,19.43,1.42,63.65,0.86,0.3476,32.5825
2015-01-22,23.71,29.79,18.64,0.94,70.83,1.46,0.3476,32.5825
2015-01-23,24.3,30.76,18.99,0.45,69.66,1.49,0.3476,32.5825
2015-01-24,23.43,28.2,20.2,0.76,72.47,1.35,0.3476,32.5825
2015-01-25,24.09,30.83,19.12,0.28,68.97,1.69,0.3476,32.5825
2015-01-26,24.3,31.36,18.82,0.45,63.87,1.62,0.3476,32.5825
2015-01-27,23.99,31.66,18.0,0.0,58.3,1.13,0.3476,32.5825
2015-01-28,25.12,31.64,18.28,0.04,49.99,0.93,0.3476,32.5825
2015-01-29,24.48,32.72,16.81,0.01,53.67,1.19,0.3476,32.5825
2015-01-30,24.58,32.82,16.72,0.0,51.2,1.4,0.3476,32.5825
2015-01-31,25.0,32.92,17.81,0.0,53.92,1.52,0.3476,32.5825
2015-02-01,25.13,33.01,18.79,0.0,59.29,1.4,0.3476,32.5825
2015-02-02,26.13,33.9,19.47,0.02,55.18,1.47,0.3476,32.5825
2015-02-03,26.15,32.81,19.23,0.03,60.52,1.06,0.3476,32.5825
2015-02-04,26.66,34.2,19.77,0.01,55.59,1.91,0.3476,32.5825
2015-02-05,26.07,32.73,20.79,0.0,62.13,1.89,0.3476,32.5825
2015-02-06,26.06,33.11,19.93,0.0,62.06,1.35,0.3476,32.5825
2015-02-07,25.86,33.41,21.01,0.0,61.66,1.71,0.3476,32.5825
2015-02-08,24.87,32.63,20.15,0.0,64.96,1.53,0.3476,32.5825
2015-02-09,23.01,27.7,19.26,0.0,71.27,1.57,0.3476,32.5825
2015-02-10,24.08,29.5,19.61,0.12,66.76,1.58,0.3476,32.5825
2015-02-11,25.15,33.13,19.36,0.03,59.66,1.71,0.3476,32.5825
2015-02-12,25.19,32.58,19.52,0.03,59.67,1.54,0.3476,32.5825
2015-02-13,25.42,32.56,20.09,0.09,59.54,1.05,0.3476,32.5825
2015-02-14,25.79,33.84,19.24,0.06,52.97,2.24,0.3476,32.5825
2015-02-15,24.93,31.06,19.91,2.67,61.45,1.61,0.3476,32.5825
