date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,RH2M,WS2M,latitude,longitude
2015-01-01,19.56,28.99,12.09,0.0,45.32,3.12,-1.2921,36.8219
2015-01-02,19.63,29.77,11.04,0.0,38.76,3.23,-1.2921,36.8219
2015-01-03,20.4,30.57,11.71,0.0,41.75,3.46,-1.2921,36.8219
2015-01-04,21.33,31.2,13.02,3.49,51.87,2.29,-1.2921,36.8219
2015-01-05,20.41,29.52,12.38,1.79,48.04,1.77,-1.2921,36.8219
2015-01-06,20.89,29.94,12.47,0.01,53.78,2.73,-1.2921,36.8219
2015-01-07,21.16,28.99,14.49,0.06,58.72,2.94,-1.2921,36.8219
2015-01-08,21.25,29.75,14.05,0.01,60.93,3.5,-1.2921,36.8219
2015-01-09,21.64,29.83,15.18,0.0,58.37,3.61,-1.2921,36.8219
2015-01-10,22.14,29.36,14.54,0.08,51.06,1.92,-1.2921,36.8219
2015-01-11,21.48,27.48,16.91,0.02,50.75,2.05,-1.2921,36.8219
2015-01-12,21.56,29.04,16.53,0.04,55.79,3.87,-1.2921,36.8219
2015-01-13,21.01,28.75,14.95,0.01,54.9,4.21,-1.2921,36.8219
2015-01-14,20.76,29.69,14.06,0.0,42.63,4.5,-1.2921,36.8219
2015-01-15,21.24,31.17,12.59,0.0,28.42,3.27,-1.2921,36.8219
2015-01-16,22.95,32.7,14.62,0.0,29.64,2.3,-1.2921,36.8219
2015-01-17,23.0,32.29,15.79,0.0,29.43,2.71,-1.2921,36.8219
2015-01-18,23.38,32.42,13.97,0.16,32.67,1.43,-1.2921,36.8219
2015-01-19,23.88,31.97,16.47,0.13,36.09,2.06,-1.2921,36.8219
2015-01-20,21.16,26.81,16.94,0.99,58.26,2.38,-1.2921,36.8219
2015-01-21,20.88,28.34,13.63,0.1,59.33,3.58,-1.2921,36.8219
2015-01-22,21.35,28.79,15.51,0.14,62.72,4.68,-1.2921,36.8219
2015-01-23,21.58,30.12,15.83,0.08,62.59,4.16,-1.2921,36.8219
2015-01-24,21.15,30.15,15.34,0.03,61.01,4.4,-1.2921,36.8219
2015-01-25,20.51,29.47,13.82,0.01,57.03,4.68,-1.2921,36.8219
2015-01-26,21.26,30.04,13.93,0.0,47.78,3.94,-1.2921,36.8219
2015-01-27,22.12,31.91,13.47,0.0,45.61,3.3,-1.2921,36.8219
2015-01-28,22.69,31.64,15.57,0.0,41.65,4.04,-1.2921,36.8219
2015-01-29,22.12,31.19,14.41,0.0,40.35,3.78,-1.2921,36.8219
2015-01-30,22.25,31.86,14.2,0.0,41.16,3.74,-1.2921,36.8219
2015-01-31,22.48,32.1,13.56,0.0,43.04,3.61,-1.2921,36.8219
2015-02-01,23.28,32.54,16.9,0.02,44.15,3.36,-1.2921,36.8219
2015-02-02,23.09,31.79,15.73,0.0,46.58,4.2,-1.2921,36.8219
2015-02-03,22.72,31.48,15.23,0.01,49.43,4.14,-1.2921,36.8219
2015-02-04,22.32,30.78,15.0,0.13,58.33,4.4,-1.2921,36.8219
2015-02-05,22.59,31.43,14.79,0.01,55.5,4.0,-1.2921,36.8219
2015-02-06,22.78,30.66,16.76,0.03,55.07,4.08,-1.2921,36.8219
2015-02-07,22.58,30.91,15.14,0.0,53.6,4.64,-1.2921,36.8219
