date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,RH2M,WS2M,latitude,longitude
2015-01-01,21.21,24.38,18.74,58.65,84.87,0.66,-6.163,35.7516
2015-01-02,22.89,29.14,16.73,0.18,73.13,1.04,-6.163,35.7516
2015-01-03,22.77,27.99,18.99,1.27,73.37,2.03,-6.163,35.7516
2015-01-04,22.74,28.09,18.04,11.64,80.35,1.51,-6.163,35.7516
2015-01-05,21.33,24.99,18.77,57.58,86.01,1.65,-6.163,35.7516
2015-01-06,21.52,25.49,18.68,10.03,81.56,1.78,-6.163,35.7516
2015-01-07,21.08,23.89,18.39,6.64,84.89,0.88,-6.163,35.7516
2015-01-08,21.95,25.74,19.2,7.32,83.42,0.7,-6.163,35.7516
2015-01-09,22.77,27.1,18.89,1.69,78.32,0.66,-6.163,35.7516
2015-01-10,21.56,25.87,19.12,3.93,84.62,2.17,-6.163,35.7516
2015-01-11,20.62,24.17,18.53,4.94,88.0,1.69,-6.163,35.7516
2015-01-12,21.33,25.53,17.83,5.62,83.04,1.42,-6.163,35.7516
2015-01-13,21.6,25.4,18.42,5.84,84.73,1.06,-6.163,35.7516
2015-01-14,22.67,27.68,17.94,1.36,78.04,1.33,-6.163,35.7516
2015-01-15,22.43,25.53,19.66,14.23,82.08,0.95,-6.163,35.7516
2015-01-16,22.09,26.84,19.35,2.4,83.91,1.67,-6.163,35.7516
2015-01-17,22.16,28.02,18.16,0.41,78.8,1.77,-6.163,35.7516
2015-01-18,22.69,27.75,18.47,1.3,77.51,1.52,-6.163,35.7516
2015-01-19,22.19,26.99,18.46,0.97,78.63,1.3,-6.163,35.7516
2015-01-20,22.03,27.15,18.44,0.39,78.13,1.26,-6.163,35.7516
2015-01-21,21.64,26.69,18.4,0.75,79.89,1.77,-6.163,35.7516
2015-01-22,22.63,28.45,17.18,0.17,74.92,2.57,-6.163,35.7516
2015-01-23,22.58,27.24,18.29,0.47,76.8,1.8,-6.163,35.7516
2015-01-24,23.15,29.3,18.01,0.05,73.15,2.32,-6.163,35.7516
2015-01-25,23.14,29.84,17.45,0.02,69.91,2.91,-6.163,35.7516
2015-01-26,22.56,30.29,16.03,0.16,67.6,1.99,-6.163,35.7516
2015-01-27,23.44,30.56,16.95,0.2,67.05,1.59,-6.163,35.7516
2015-01-28,23.43,29.62,17.97,3.53,72.59,1.69,-6.163,35.7516
2015-01-29,24.28,31.16,18.08,1.67,68.76,2.09,-6.163,35.7516
2015-01-30,23.51,30.72,17.78,3.87,73.42,2.19,-6.163,35.7516
2015-01-31,22.57,27.2,19.87,1.12,79.88,1.05,-6.163,35.7516
2015-02-01,24.46,31.21,18.48,0.27,67.22,1.34,-6.163,35.7516
2015-02-02,25.14,31.87,19.93,0.31,63.71,1.92,-6.163,35.7516
2015-02-03,25.7,32.9,18.62,0.16,62.11,2.23,-6.163,35.7516
2015-02-04,25.65,33.04,18.88,0.07,60.89,3.2,-6.163,35.7516
2015-02-05,26.26,33.68,19.04,0.34,58.73,2.58,-6.163,35.7516
2015-02-06,24.98,31.27,19.31,1.41,64.52,2.06,-6.163,35.7516
2015-02-07,24.33,30.59,19.89,3.02,69.06,2.4,-6.163,35.7516
2015-02-08,23.2,28.78,18.74,2.64,71.8,1.95,-6.163,35.7516
2015-02-09,23.5,29.79,18.77,1.13,70.38,2.17,-6.163,35.7516
2015-02-10,24.26,31.91,18.11,0.08,64.08,2.89,-6.163,35.7516
2015-02-11,24.07,32.78,15.95,0.0,59.08,2.1,-6.163,35.7516
2015-02-12,25.11,32.73,17.54,0.19,59.37,2.43,-6.163,35.7516
2015-02-13,25.72,32.07,19.9,0.73,60.42,2.22,-6.163,35.7516
2015-02-14,25.09,31.37,19.36,3.44,66.02,1.43,-6.163,35.7516
2015-02-15,21.01,23.52,18.48,52.18,90.7,1.82,-6.163,35.7516
2015-02-16,21.54,25.63,17.0,4.95,84.05,1.13,-6.163,35.7516
2015-02-17,21.81,25.49,18.65,0.67,83.17,0.68,-6.163,35.7516
2015-02-18,21.36,26.3,17.84,2.44,84.17,1.5,-6.163,35.7516
2015-02-19,22.5,28.52,16.27,0.74,74.18,0.79,-6.163,35.7516
2015-02-20,23.08,29.17,17.91,0.21,75.59,1.76,-6.163,35.7516
2015-02-21,23.69,29.69,18.03,0.05,72.17,2.13,-6.163,35.7516
2015-02-22,23.33,29.39,17.31,0.51,73.36,2.58,-6.163,35.7516
2015-02-23,23.75,29.68,18.42,0.19,70.38,2.51,-6.163,35.7516
2015-02-24,23.04,28.69,19.21,0.97,73.24,2.16,-6.163,35.7516
2015-02-25,22.79,27.56,18.12,0.91,73.42,1.66,-6.163,35.7516
2015-02-26,22.61,27.64,18.41,1.26,74.91,1.24,-6.163,35.7516
2015-02-27,24.3,31.62,17.36,0.95,67.64,1.55,-6.163,35.7516
