user_id,total_responses,avg_response_length,unique_topics,primary_topic,unique_countries,primary_country,unique_askers_helped,user_gender,user_country
260199,2016,62.626488095238095,60,poultry,1,ke,1098,,ke
573634,1873,67.8857447944474,65,plant,1,ug,1088,female,ug
470960,1765,74.19490084985836,72,plant,1,ug,991,,ug
165453,1732,42.70150115473441,46,chicken,1,ke,1093,male,ke
575229,1091,88.58111824014665,49,plant,1,ug,615,,ug
56273,1077,138.5032497678737,73,chicken,1,ke,604,male,ke
252683,991,67.93440968718467,31,bean,1,ug,615,,ug
535686,926,30.062634989200863,36,maize,1,ke,554,,ke
250780,740,83.23918918918919,32,cotton,1,ug,483,female,ug
679244,656,45.96341463414634,42,plant,1,ke,368,,ke
293539,584,21.39554794520548,9,crop,1,ug,321,male,ug
344551,515,35.12621359223301,24,plant,1,ke,322,,ke
34101,497,68.29175050301811,53,coffee,1,ke,302,male,ke
679442,488,17.57172131147541,14,plant,1,ke,255,,ke
19513,479,80.0313152400835,36,animal,1,ke,306,male,ke
343612,467,32.154175588865094,29,poultry,1,ke,294,,ke
364572,466,27.65021459227468,28,plant,1,ke,267,,ke
665088,442,57.042986425339365,45,chicken,1,ke,263,,ke
466438,428,159.90887850467288,33,cattle,1,ke,171,,ke
459149,395,48.69113924050633,26,rabbit,1,ke,242,,ke
307821,395,28.741772151898733,9,cattle,1,ug,335,,ug
319032,359,55.543175487465184,35,crop,1,ug,248,,ug
431299,356,56.46629213483146,30,plant,1,ke,187,,ke
250558,345,37.71884057971015,20,chicken,1,ke,212,,ke
8620,334,65.2874251497006,30,chicken,1,ke,150,male,ke
635876,325,122.31384615384616,36,plant,1,ke,155,,ke
631756,325,31.298461538461538,23,plant,1,ke,205,,ke
99334,318,31.19811320754717,16,rabbit,1,ke,194,,ke
508224,314,44.92993630573248,19,chicken,1,ug,172,,ug
508697,308,31.363636363636363,19,cattle,1,ke,218,,ke
500514,295,30.352542372881356,19,guava,1,ke,183,,ke
243639,293,80.50511945392492,29,chicken,1,ke,154,,ke
18448,291,69.01030927835052,35,bean,1,ke,138,male,ke
90909,282,64.07801418439716,25,chicken,1,ke,189,male,ke
573722,278,91.27697841726619,25,chicken,1,ug,182,male,ug
266128,268,55.776119402985074,26,poultry,1,ke,172,,ke
110220,267,41.46441947565543,43,plant,1,ke,138,male,ke
440737,260,43.81153846153846,26,rabbit,1,ke,168,male,ke
72086,253,17.25691699604743,18,chicken,1,ke,180,,ke
597137,242,153.60743801652893,21,tomato,1,ke,119,,ke
623201,241,138.4813278008299,34,bean,1,ke,113,,ke
197762,240,35.55,25,chicken,1,ke,143,male,ke
525055,237,41.780590717299575,17,poultry,1,ke,134,,ke
594467,237,26.438818565400844,20,chicken,1,ke,150,,ke
341627,236,50.851694915254235,29,chicken,1,ug,161,,ug
114368,223,61.89686098654708,21,plant,1,ke,111,male,ke
364110,219,58.41095890410959,18,cattle,1,ke,143,,ke
727641,217,139.32258064516128,34,plant,1,ug,125,,ug
681303,217,23.018433179723502,15,poultry,1,ke,159,,ke
308712,211,30.606635071090047,15,rabbit,1,ke,139,,ke
